#Step_num time omega delta |10><10| |r0><r0| |d0><d0|
0 0.000000 1.000000 0.000000 0.000000 0.000000 0.000000
1 0.001426 1.000000 0.000000 0.000000 0.000000 0.000000
2 0.003062 0.999999 0.000000 0.000000 0.000000 0.000000
3 0.004691 0.999993 0.000002 0.000002 0.000002 0.000002
4 0.006316 0.999975 0.000006 0.000006 0.000006 0.000006
5 0.007944 0.999931 0.000017 0.000017 0.000017 0.000017
6 0.008285 0.999917 0.000021 0.000021 0.000021 0.000021
7 0.008675 0.999899 0.000025 0.000025 0.000025 0.000025
8 0.008974 0.999882 0.000029 0.000029 0.000029 0.000029
9 0.009270 0.999864 0.000034 0.000034 0.000034 0.000034
10 0.009576 0.999843 0.000039 0.000039 0.000039 0.000039
11 0.009855 0.999821 0.000045 0.000045 0.000045 0.000045
12 0.010113 0.999800 0.000050 0.000050 0.000050 0.000050
13 0.010364 0.999777 0.000056 0.000056 0.000056 0.000056
14 0.010615 0.999751 0.000062 0.000062 0.000062 0.000062
15 0.010865 0.999724 0.000069 0.000069 0.000069 0.000069
16 0.011114 0.999695 0.000076 0.000076 0.000076 0.000076
17 0.011364 0.999663 0.000084 0.000084 0.000084 0.000084
18 0.011613 0.999628 0.000093 0.000093 0.000093 0.000093
19 0.011862 0.999591 0.000102 0.000102 0.000102 0.000102
20 0.012111 0.999551 0.000112 0.000112 0.000112 0.000112
21 0.012360 0.999508 0.000123 0.000123 0.000123 0.000123
22 0.012608 0.999462 0.000135 0.000135 0.000135 0.000135
23 0.012857 0.999412 0.000147 0.000147 0.000147 0.000147
24 0.013106 0.999359 0.000160 0.000160 0.000160 0.000160
25 0.013354 0.999303 0.000174 0.000174 0.000174 0.000174
26 0.013603 0.999242 0.000189 0.000189 0.000189 0.000189
27 0.013851 0.999178 0.000206 0.000206 0.000206 0.000206
28 0.014100 0.999109 0.000223 0.000223 0.000223 0.000223
29 0.014348 0.999036 0.000241 0.000241 0.000241 0.000241
30 0.014597 0.998958 0.000261 0.000261 0.000261 0.000261
31 0.014845 0.998875 0.000281 0.000281 0.000281 0.000281
32 0.015094 0.998788 0.000303 0.000303 0.000303 0.000303
33 0.015342 0.998695 0.000326 0.000326 0.000326 0.000326
34 0.015591 0.998596 0.000351 0.000351 0.000351 0.000351
35 0.015839 0.998492 0.000377 0.000377 0.000377 0.000377
36 0.016088 0.998382 0.000404 0.000404 0.000404 0.000404
37 0.016336 0.998266 0.000433 0.000433 0.000433 0.000433
38 0.016585 0.998144 0.000464 0.000464 0.000464 0.000464
39 0.016833 0.998015 0.000496 0.000496 0.000496 0.000496
40 0.017081 0.997879 0.000530 0.000530 0.000530 0.000530
41 0.017330 0.997736 0.000566 0.000566 0.000566 0.000566
42 0.017578 0.997585 0.000604 0.000604 0.000604 0.000604
43 0.017827 0.997427 0.000643 0.000643 0.000643 0.000643
44 0.018075 0.997262 0.000684 0.000684 0.000684 0.000684
45 0.018323 0.997088 0.000728 0.000728 0.000728 0.000728
46 0.018572 0.996906 0.000774 0.000774 0.000774 0.000774
47 0.018820 0.996715 0.000821 0.000821 0.000821 0.000821
48 0.019068 0.996515 0.000871 0.000871 0.000871 0.000871
49 0.019316 0.996306 0.000923 0.000923 0.000923 0.000923
50 0.019565 0.996088 0.000978 0.000978 0.000978 0.000978
51 0.019813 0.995860 0.001035 0.001035 0.001035 0.001035
52 0.020061 0.995622 0.001094 0.001094 0.001094 0.001094
53 0.020309 0.995373 0.001156 0.001156 0.001156 0.001156
54 0.020558 0.995115 0.001221 0.001221 0.001221 0.001221
55 0.020806 0.994845 0.001289 0.001289 0.001289 0.001289
56 0.021054 0.994564 0.001359 0.001359 0.001359 0.001359
57 0.021302 0.994272 0.001432 0.001432 0.001432 0.001432
58 0.021550 0.993969 0.001508 0.001508 0.001508 0.001508
59 0.021798 0.993653 0.001586 0.001586 0.001586 0.001586
60 0.022047 0.993325 0.001668 0.001668 0.001668 0.001668
61 0.022295 0.992985 0.001753 0.001753 0.001753 0.001753
62 0.022543 0.992631 0.001842 0.001842 0.001842 0.001842
63 0.022791 0.992265 0.001933 0.001933 0.001933 0.001933
64 0.023039 0.991886 0.002028 0.002028 0.002028 0.002028
65 0.023287 0.991492 0.002126 0.002126 0.002126 0.002126
66 0.023535 0.991085 0.002228 0.002228 0.002228 0.002228
67 0.023783 0.990664 0.002333 0.002333 0.002333 0.002333
68 0.024031 0.990228 0.002442 0.002442 0.002442 0.002442
69 0.024279 0.989778 0.002555 0.002555 0.002555 0.002555
70 0.024527 0.989313 0.002671 0.002671 0.002671 0.002671
71 0.024775 0.988832 0.002791 0.002791 0.002791 0.002791
72 0.025023 0.988336 0.002915 0.002915 0.002915 0.002915
73 0.025271 0.987824 0.003043 0.003043 0.003043 0.003043
74 0.025519 0.987296 0.003175 0.003175 0.003175 0.003175
75 0.025767 0.986752 0.003311 0.003311 0.003311 0.003311
76 0.026014 0.986191 0.003451 0.003451 0.003451 0.003451
77 0.026262 0.985614 0.003595 0.003595 0.003595 0.003595
78 0.026510 0.985019 0.003744 0.003744 0.003744 0.003744
79 0.026758 0.984407 0.003896 0.003896 0.003896 0.003896
80 0.027006 0.983778 0.004053 0.004053 0.004053 0.004053
81 0.027253 0.983132 0.004215 0.004215 0.004215 0.004215
82 0.027501 0.982467 0.004381 0.004381 0.004381 0.004381
83 0.027749 0.981784 0.004552 0.004552 0.004552 0.004552
84 0.027997 0.981083 0.004727 0.004727 0.004727 0.004727
85 0.028244 0.980364 0.004906 0.004906 0.004906 0.004906
86 0.028492 0.979625 0.005091 0.005091 0.005091 0.005091
87 0.028740 0.978868 0.005280 0.005280 0.005280 0.005280
88 0.028987 0.978092 0.005473 0.005473 0.005473 0.005473
89 0.029235 0.977297 0.005672 0.005672 0.005672 0.005672
90 0.029483 0.976483 0.005875 0.005875 0.005875 0.005875
91 0.029730 0.975649 0.006084 0.006084 0.006084 0.006084
92 0.029978 0.974796 0.006297 0.006297 0.006297 0.006297
93 0.030225 0.973923 0.006515 0.006515 0.006515 0.006515
94 0.030473 0.973030 0.006737 0.006737 0.006737 0.006737
95 0.030720 0.972117 0.006965 0.006965 0.006965 0.006965
