#Step_num time omega delta |10><10| |r0><r0| |d0><d0|
0 0.000000 1.000000 0.000000 0.000000 0.000000 0.000000
1 0.002641 0.999999 0.000000 0.000000 0.000000 0.000000
2 0.005672 0.999984 0.000004 0.000004 0.000004 0.000004
3 0.008689 0.999897 0.000026 0.000026 0.000026 0.000026
4 0.009604 0.999840 0.000040 0.000040 0.000040 0.000040
5 0.010144 0.999796 0.000051 0.000051 0.000051 0.000051
6 0.010483 0.999764 0.000059 0.000059 0.000059 0.000059
7 0.010812 0.999729 0.000068 0.000068 0.000068 0.000068
8 0.011106 0.999694 0.000076 0.000076 0.000076 0.000076
9 0.011416 0.999654 0.000086 0.000086 0.000086 0.000086
10 0.011698 0.999614 0.000096 0.000096 0.000096 0.000096
11 0.011957 0.999575 0.000106 0.000106 0.000106 0.000106
12 0.012208 0.999533 0.000117 0.000117 0.000117 0.000117
13 0.012458 0.999489 0.000128 0.000128 0.000128 0.000128
14 0.012707 0.999441 0.000140 0.000140 0.000140 0.000140
15 0.012956 0.999390 0.000152 0.000152 0.000152 0.000152
16 0.013206 0.999336 0.000166 0.000166 0.000166 0.000166
17 0.013454 0.999277 0.000181 0.000181 0.000181 0.000181
18 0.013703 0.999215 0.000196 0.000196 0.000196 0.000196
19 0.013952 0.999149 0.000213 0.000213 0.000213 0.000213
20 0.014201 0.999078 0.000230 0.000230 0.000230 0.000230
21 0.014449 0.999003 0.000249 0.000249 0.000249 0.000249
22 0.014698 0.998923 0.000269 0.000269 0.000269 0.000269
23 0.014946 0.998839 0.000290 0.000290 0.000290 0.000290
24 0.015195 0.998749 0.000313 0.000313 0.000313 0.000313
25 0.015443 0.998654 0.000337 0.000337 0.000337 0.000337
26 0.015692 0.998553 0.000362 0.000362 0.000362 0.000362
27 0.015940 0.998447 0.000388 0.000388 0.000388 0.000388
28 0.016189 0.998334 0.000416 0.000416 0.000416 0.000416
29 0.016437 0.998216 0.000446 0.000446 0.000446 0.000446
30 0.016686 0.998091 0.000477 0.000477 0.000477 0.000477
31 0.016934 0.997959 0.000510 0.000510 0.000510 0.000510
32 0.017182 0.997820 0.000545 0.000545 0.000545 0.000545
33 0.017431 0.997675 0.000581 0.000581 0.000581 0.000581
34 0.017679 0.997521 0.000620 0.000620 0.000620 0.000620
35 0.017927 0.997360 0.000660 0.000660 0.000660 0.000660
36 0.018176 0.997191 0.000702 0.000702 0.000702 0.000702
37 0.018424 0.997014 0.000746 0.000746 0.000746 0.000746
38 0.018672 0.996829 0.000793 0.000793 0.000793 0.000793
39 0.018921 0.996634 0.000841 0.000841 0.000841 0.000841
40 0.019169 0.996431 0.000892 0.000892 0.000892 0.000892
41 0.019417 0.996219 0.000945 0.000945 0.000945 0.000945
42 0.019665 0.995997 0.001001 0.001001 0.001001 0.001001
43 0.019914 0.995765 0.001059 0.001059 0.001059 0.001059
44 0.020162 0.995523 0.001119 0.001119 0.001119 0.001119
45 0.020410 0.995270 0.001182 0.001182 0.001182 0.001182
46 0.020658 0.995008 0.001248 0.001248 0.001248 0.001248
47 0.020906 0.994734 0.001316 0.001316 0.001316 0.001316
48 0.021154 0.994449 0.001388 0.001388 0.001388 0.001388
49 0.021403 0.994152 0.001462 0.001462 0.001462 0.001462
50 0.021651 0.993844 0.001539 0.001539 0.001539 0.001539
51 0.021899 0.993524 0.001619 0.001619 0.001619 0.001619
52 0.022147 0.993191 0.001702 0.001702 0.001702 0.001702
53 0.022395 0.992846 0.001788 0.001788 0.001788 0.001788
54 0.022643 0.992488 0.001878 0.001878 0.001878 0.001878
55 0.022891 0.992116 0.001970 0.001970 0.001970 0.001970
56 0.023139 0.991732 0.002067 0.002067 0.002067 0.002067
57 0.023387 0.991333 0.002166 0.002166 0.002166 0.002166
58 0.023635 0.990921 0.002269 0.002269 0.002269 0.002269
59 0.023883 0.990494 0.002376 0.002376 0.002376 0.002376
60 0.024131 0.990053 0.002486 0.002486 0.002486 0.002486
61 0.024379 0.989597 0.002600 0.002600 0.002600 0.002600
